RecordID,Competition,Edition,Athlete Id,Sex,Region,Education,Age group,Income,Disability,Previous attempts,Late enrollment,Cancelled enrollment,Athlete score,Mental preparation,Train bf competition,Strength training,Sand training,Recovery,Supplements,Cardiovascular training,Outdoor Workout,Squad training,Physiotherapy,Plyometric training,No coach,Sport-specific training,Other training,Past injuries,Outcome
44141,Federation League,2019,549337,M,Southern Africa,High school,0-35,Middle,FALSE,0,FALSE,TRUE,0,FALSE,27,96,0,1,27,0,FALSE,7,0,0,FALSE,1,0,FALSE,0
78417,Regional Tournament,2021,631492,F,Oceania,University Degree,0-35,Low,FALSE,0,FALSE,FALSE,60,FALSE,203,123,0,3,153,118,FALSE,0,0,0,FALSE,65,0,FALSE,1
63424,Olympic Games,2022,2168833,M,Middle East,Middle school,35-55,Middle,FALSE,0,FALSE,TRUE,0,FALSE,4,14,0,0,2,0,FALSE,0,0,0,FALSE,0,0,FALSE,0
72391,National Cup,2021,573153,M,Southern Europe,Middle school,0-35,Low,FALSE,0,FALSE,TRUE,30,FALSE,33,14,0,7,13,55,FALSE,0,0,0,FALSE,3,0,FALSE,0
46699,Local Match,2019,606079,M,Southern Europe,High school,35-55,Middle,FALSE,0,FALSE,FALSE,60,FALSE,646,476,0,729,238,265,FALSE,22,50,13,FALSE,25,0,FALSE,0
28004,Regional Tournament,2021,617560,F,Middle East,High school,0-35,Middle-High,FALSE,0,FALSE,FALSE,60,FALSE,73,22,1,38,2,61,FALSE,0,0,0,FALSE,5,0,FALSE,1
72809,Federation League,2020,560311,M,Western Europe,Middle school,0-35,Middle,FALSE,0,FALSE,FALSE,0,FALSE,656,588,0,431,273,16,FALSE,0,182,0,FALSE,93,18,FALSE,1
15624,Continental Championship,2022,570273,M,East Asia,High school,0-35,High,FALSE,1,FALSE,FALSE,0,FALSE,570,779,0,1003,79,61,FALSE,9,310,0,FALSE,59,0,TRUE,1
90336,Federation League,2019,607485,M,North America,High school,0-35,High,TRUE,0,FALSE,FALSE,0,FALSE,17,62,0,112,19,0,FALSE,0,36,0,FALSE,0,0,TRUE,1
23810,Local Match,2022,627365,F,Oceania,Middle school,35-55,Middle-High,FALSE,0,FALSE,FALSE,0,FALSE,545,1435,0,472,371,1003,TRUE,8,91,22,FALSE,71,7,TRUE,1
10649,Local Match,2020,549825,M,Central Asia,High school,0-35,High,FALSE,0,FALSE,FALSE,0,FALSE,153,520,0,177,199,422,FALSE,0,3,0,FALSE,19,32,TRUE,1
89729,Local Match,2019,606966,M,North America,University Degree,0-35,Middle,FALSE,0,FALSE,FALSE,0,FALSE,161,496,0,65,135,704,FALSE,0,8,1,FALSE,14,1,FALSE,0
71204,National Cup,2021,524378,F,Northern Africa,High school,35-55,Middle,FALSE,0,FALSE,FALSE,0,FALSE,239,437,0,200,174,402,FALSE,1,0,0,FALSE,8,0,FALSE,1
76219,Local Match,2020,537955,M,South Asia,University Degree,0-35,High,FALSE,0,FALSE,FALSE,60,FALSE,247,1334,0,240,407,982,FALSE,0,11,2,FALSE,46,7,TRUE,1
18597,World Championship,2019,1720448,F,Oceania,High school,35-55,Middle-High,FALSE,0,FALSE,FALSE,-30,FALSE,171,298,6,416,28,130,FALSE,0,0,0,FALSE,0,0,TRUE,1
73813,Regional Tournament,2022,495522,F,South America,High school,0-35,Low,FALSE,0,FALSE,TRUE,60,FALSE,82,96,0,20,10,0,FALSE,5,0,0,FALSE,0,0,FALSE,0
14692,Local Match,2020,2600887,M,Southern Africa,High school,35-55,High,FALSE,0,FALSE,FALSE,30,FALSE,199,1467,0,280,261,276,FALSE,0,43,3,FALSE,30,10,TRUE,1
28057,Federation League,2021,201151,F,Middle East,High school,0-35,Low,TRUE,0,FALSE,FALSE,0,FALSE,184,158,0,346,253,4,FALSE,12,54,0,FALSE,12,0,TRUE,1
33088,Local Match,2021,2074627,M,North America,Middle school,0-35,Middle,FALSE,0,FALSE,FALSE,30,,263,938,0,88,376,651,FALSE,0,1,0,FALSE,22,,TRUE,1
68407,Regional Tournament,2022,680970,F,Oceania,University Degree,35-55,High,FALSE,0,FALSE,FALSE,60,FALSE,143,538,1,78,41,225,FALSE,20,0,14,FALSE,0,0,TRUE,1
35043,World Championship,2022,290854,F,North America,High school,35-55,Low,FALSE,0,FALSE,FALSE,-30,FALSE,160,485,75,262,113,71,FALSE,0,0,0,FALSE,0,0,TRUE,1
85739,Federation League,2019,243372,M,Middle East,High school,35-55,Middle-High,FALSE,0,FALSE,FALSE,15,FALSE,578,153,182,564,397,24,FALSE,8,149,0,FALSE,14,0,TRUE,1
61456,Local Match,,83603,M,South America,High school,35-55,High,FALSE,0,FALSE,FALSE,0,TRUE,371,1290,0,154,389,643,FALSE,9,20,10,FALSE,48,0,TRUE,1
77995,Continental Championship,2021,441852,M,Middle East,High school,0-35,Middle-High,FALSE,1,FALSE,FALSE,0,FALSE,265,980,0,169,13,219,FALSE,0,149,0,FALSE,63,0,TRUE,1
31989,Federation League,2020,166988,F,South America,University Degree,0-35,Middle-High,FALSE,0,FALSE,FALSE,30,FALSE,274,148,0,101,243,23,FALSE,0,64,0,FALSE,68,1,TRUE,1
11666,World Championship,2019,586370,F,Western Europe,Middle school,0-35,Middle,FALSE,0,FALSE,FALSE,-30,FALSE,7,23,0,0,3,39,FALSE,0,0,0,FALSE,0,0,TRUE,0
65426,National Cup,2022,364103,M,North America,High school,0-35,Middle,FALSE,0,FALSE,FALSE,30,FALSE,148,324,0,33,79,243,FALSE,6,0,0,FALSE,14,0,FALSE,1
79629,World Championship,2022,613059,F,Northern Africa,Middle school,35-55,Low,FALSE,1,FALSE,FALSE,-30,FALSE,403,565,3,616,32,127,FALSE,0,0,0,FALSE,0,0,TRUE,1
70525,Federation League,2019,574088,M,Southern Africa,High school,0-35,Low,FALSE,0,FALSE,FALSE,,FALSE,334,154,0,151,250,22,FALSE,15,52,0,FALSE,50,0,TRUE,1
54734,Local Match,2020,467700,M,East Asia,,0-35,High,FALSE,1,FALSE,FALSE,0,FALSE,172,264,0,65,180,689,FALSE,0,1,0,FALSE,26,20,TRUE,1
